Vehicle,WE_10/2/2021,WE_10/9/2021,WE_10/16/2021,WE_10/23/2021,WE_10/30/2021,WE_11/6/2021,WE_11/13/2021,WE_11/20/2021,WE_11/27/2021,WE_12/4/2021,WE_12/11/2021,WE_12/18/2021,WE_12/25/2021,WE_1/1/2022,WE_1/8/2022,WE_1/15/2022,WE_1/22/2022,WE_1/29/2022,WE_2/5/2022,WE_2/12/2022,WE_2/19/2022,WE_2/26/2022,WE_3/5/2022,WE_3/12/2022,WE_3/19/2022,WE_3/26/2022,WE_4/2/2022,WE_4/9/2022,WE_4/16/2022
204,107010,107700,108310,108460,108690,108860,109050,109250,109450,109700,109960,110110,110410,110665,110920,111220,111500,111860,112190,,113020,113420,113760,114200,114570,115115,,,
205,96725,97666,98887,99793,100636,,102218,102711,,103439,103977,104565,105157,105830,,,,,,106755,106997,,,107612,107976,108359,108822,,110317
207,77984,78154,78904,79258,79630,,80420,80720,80753,81137,81508,81840,82014,,82566,82596,82731,83107,83584,84118,84315,84641,85023,85378,85713,86133,86485,,
209,,68483,68907,69254,,69830,70300,70806,71152,71610,72083,72468,,,,74069,74477,74817,75457,,76376,76831,77381,77815,78194,,79518,80161,80758
212,145620,,147455,148613,149865,150674,,151648,152319,153440,154367,155337,,,156080,157594,158493,159498,160390,161483,162513,163430,164377,165219,166240,167208,168234,,
213,129299,130018,130792,131270,131931,132528,133131,133869,134205,134951,135513,136041,136434,,137117,137886,138358,139043,139673,140300,140837,141393,142185,142396,143122,143719,144192,,
216,95897,95973,96268,96487,96705,97178,97474,97839,98084,98400,98545,98897,99066,99225,99369,99853,100127,100463,100781,100881,101141,,,,,,,,
217,,77132,77425,77887,78308,78671,79110,79482,79700,79752,79794,80329,,,,81835,82212,82397,82811,,83512,83779,84161,84594,85022,85469,85905,86474,86965
218,51615,51955,52357,52692,52781,53107,53626,54582,54594,54862,55115,55272,55479,,,55652,55675,55791,56149,56282,56366,56423,57102,57196,57345,58073,58497,,
221,43590,43870,44140,44310,44740,45150,45540,45940,46100,46480,46840,47600,48100,48420,48820,49140,49180,49330,49380,49670,50100,50270,50630,50820,51260,51520,51900,,
222,35741,36163,36490,36982,37688,,,,,,39258,,40379,40684,41188,4174,42263,42792,43124,43646,44168,44299,44841,45433,46078,46839,47638,,
223,45626,46299,46680,47080,47678,48072,48616,49057,49237,49447,49714,50070,50214,50352,50918,51131,51426,51815,51961,52284,52533,53033,53552,53976,54511,54939,55394,,
225,,64565,64998,65550,66068,66714,67238,68062,68200,68815,69480,70037,,,,71277,71809,72269,72641,,73415,73827,74229,74562,74932,75499,76145,,77271
227,61603,62373,,63546,64388,64810,65202,65492,,66632,67774,69270,70314,70904,71186,72056,,73014,73354,74414,74964,75302,76314,76810,77354,,,,
228,,,,26758,,,,26924,27124,27233,27376,27639,27925,28068,28257,28339,28841,29160,29295,,30192,30250,30875,30999,31190,31731,,,
229,,,,21945,22450,22874,23388,23779,24002,24438,,25276,25570,25927,26238,26676,27037,,,,,,29009,29300,,30127,,,
230,29119,29816,30301,31230,31911,32658,33548,34409,35223,35968,36760,37170,37814,38412,38787,39387,40062,40685,41246,41992,,43144,43611,,,,,,
233,40592,40781,41197,41379,41470,41894,42275,42554,42793,43026,43264,43849,,,44004,44510,,44839,,,45897,46476,46837,47177,47651,47994,48578,,
234,60400,61400,62307,,64072,64883,65500,66345,66783,67530,68070,68841,,69517,70263,71095,71751,72405,72832,73536,74000,74629,75805,76240,76994,77467,78000,,
235,36378,37110,37917,38715,39405,40161,40597,41512,41778,42222,42980,43122,43924,44508,45232,46203,46929,47791,48313,,49176,49797,50964,51237,,52665,53372,,
236,25173,25789,26204,26467,26813,27182,27576,27639,,27865,28139,28675,29005,29275,29463,29707,30153,30394,30600,30699,30997,31210,31393,32377,33000,33451,33881,,
237,26806,27353,27829,,28189,28271,,29029,29124,29347,29663,30054,30222,,30356,30832,31194,31466,31636,31949,32215,32290,32656,,,33403,,,
240,,74425,74866,74955,75195,75525,75855,76090,76125,76695,76775,77150,77690,,77995,78294,78780,78800,78970,,79840,,80455,80525,80560,80825,80950,,
241,26484,26768,27085,27276,27611,28008,28262,28541,28858,29307,29615,30026,30400,30646,30797,30979,31178,31611,31961,32425,32809,32919,33323,33637,33736,34047,,,
242,15250,15510,15800,15930,16230,16650,16905,17055,17145,17330,17480,17630,,17830,18030,18410,18590,18870,19240,19640,19800,20160,20390,20645,20975,21605,22080,,
243,20521,20835,21054,21464,21632,22202,22405,22859,23001,23349,23729,23747,23802,23927,24273,24498,,,24932,25184,25262,25389,25559,25681,26198,26214,,,
244,,,,,39055,39567,40335,40981,,,,,44172,44450,,44892,45318,45925,46798,47225,48121,48695,49450,50005,51120,51375,,,
245,16527,16861,17149,17441,17821,,18448,18826,19050,19426,19890,20320,20815,21400,22457,,22808,23447,23986,24868,,25192,25683,26220,26465,27034,,,
246,15340,15666,16115,16414,16867,16989,17318,17613,17977,18222,18498,18743,18969,19111,19368,19632,19896,20173,,,20962,21258,21597,21861,22142,,,,
248,13565,14315,15042,15637,16258,16999,17674,18135,,,,,,,,,,40075,40820,,42645,43555,44225,45195,,46900,,,
249,,31697,31885,31996,32185,32410,32680,32843,32867,33130,33291,33530,,,,34007,34193,34446,34643,,35020,35148,35349,35545,35581,35721,35904,,
250,,37869,38246,38710,39106,39431,39921,,40333,40673,40981,41293,41501,,,41819,42652,,,,,43441,43630,44092,44618,44948,,,
251,4146,4675,5076,5394,5863,6406,6914,7328,7860,8851,9788,10619,11315,12096,12983,13881,14653,,,15709,16558,17251,18243,19355,20142,21148,,,
252,2384,3085,3209,3289,3305,3350,3391,3787,4130,4250,4329,4413,,,4428,4742,5388,5997,6025,,6929,6971,7241,7319,7445,7636,,,
738,110940,111879,112478,113155,113881,114750,115520,116455,117049,117887,118586,119419,119877,,120343,121062,121230,121919,122778,,124520,124966,125852,126143,126985,127678,,,
739,,181698,182261,182767,183270,183743,184190,184325,,,184589,184689,,,,185808,186260,186747,187189,,187967,188294,188754,189162,189680,190291,190882,191559,192187
740,,127134,127458,128156,128684,129226,,130259,,131035,,132110,132662,,133033,,134094,134473,134662,135205,135562,135669,136276,136685,,137704,,,
741,196075,196325,196625,196975,197425,197800,,198425,198700,,199200,,199650,,200100,200500,200850,,201350,,201900,202150,202450,202650,,203135,,,
743,,152406,152907,153720,154364,154811,155226,155232,155581,155947,156207,156658,,,,157302,157700,157919,158327,,159113,159340,159632,159838,160178,160460,160835,161228,161527
746,140385,141121,,142023,,144001,145100,145964,,,,,146624,,146740,,147267,147710,148060,148415,148883,149089,149318,149613,,150107,,,
